Customer ID,frequency,recency,T,monetary_value,predicted_clv,clv_segment
12346,6,196,361,47.14333333,561.1260181,Low Value
12347,1,37,40,711.79,3113.515601,VIP
12348,0,0,74,0,851.5731585,Medium Value
12349,2,182,225,801.31,2145.749292,VIP
12351,0,0,11,0,1496.068743,High Value
12352,1,17,28,200.05,2015.315144,VIP
12353,0,0,44,0,1071.343728,Medium Value
12355,0,0,203,0,452.4694234,Low Value
12356,2,44,60,1325.905,7213.778672,VIP
12357,0,0,24,0,1293.979395,High Value
12358,2,356,367,644.59,1237.372997,High Value
12359,5,309,370,360.534,1659.581358,High Value
12360,4,276,291,368.2075,1716.374032,High Value
12361,2,220,318,106.075,554.2129891,Low Value
12362,0,0,374,0,279.0873866,Low Value
12366,0,0,269,0,364.9594919,Low Value
12368,0,0,264,0,370.3863492,Low Value
12369,2,228,277,721.415,1688.085653,High Value
12370,1,44,304,211.66,540.6083241,Low Value
12371,1,236,281,1571.74,1692.219193,High Value
12373,1,49,309,325.15,618.8004971,Low Value
12374,1,167,224,857.75,1322.497139,High Value
12376,1,28,53,70.6,1315.695061,High Value
12377,1,208,225,587.24,1056.416225,Medium Value
12378,0,0,198,0,460.8406795,Low Value
12379,1,112,170,400.5,1072.949093,Medium Value
12380,3,197,298,1311.396667,3714.98261,VIP
12385,0,0,15,0,1427.471798,High Value
12386,0,0,2,0,1677.443138,High Value
12387,0,0,51,0,1010.493543,Medium Value
12388,1,137,218,658.83,1151.74413,High Value
12389,2,253,291,634.24,1477.971633,High Value
12391,3,198,298,533.38,1760.503567,High Value
12392,0,0,227,0,416.1814067,Low Value
12393,1,46,64,513.05,2145.073928,VIP
12395,3,231,238,307.7333333,1428.599999,High Value
12396,0,0,310,0,325.8144127,Low Value
12399,2,259,280,323.835,989.910824,Medium Value
12400,0,0,50,0,1018.759736,Medium Value
12402,4,278,306,209.9,1119.525611,High Value
12403,0,0,157,0,543.2588751,Low Value
12404,0,0,318,0,319.1353852,Low Value
12406,2,298,333,1046.93,1942.904528,VIP
12408,2,113,134,629.06,2585.166883,VIP
12409,3,145,201,1848.046667,6865.713576,VIP
12410,0,0,138,0,592.3523657,Low Value
12411,0,0,45,0,1062.205956,Medium Value
12412,2,137,175,349.585,1471.687612,High Value
12413,0,0,38,0,1129.651867,High Value
12414,0,0,99,0,727.2538627,Medium Value
12415,6,152,163,2869.516667,24119.5163,VIP
12416,0,0,292,0,341.9148992,Low Value
12417,10,323,369,285.871,2474.274906,VIP
12418,2,217,266,504.34,1353.777815,High Value
12419,1,28,49,180.1,1619.126756,High Value
12421,1,90,141,213.76,966.5220212,Medium Value
12422,10,327,357,435.324,3679.706231,VIP
12423,1,78,101,464.28,1606.508544,High Value
12424,1,126,184,1132.53,1837.329516,VIP
12425,0,0,84,0,797.0713261,Medium Value
12426,0,0,298,0,336.3741292,Low Value
12427,0,0,7,0,1571.59222,High Value
12429,2,181,182,1164.075,3375.259899,VIP
12431,10,320,329,325.025,3044.966782,VIP
12433,4,110,112,1763.2475,12915.52559,VIP
12434,0,0,17,0,1395.479644,High Value
12435,3,341,373,1696.013333,3905.917536,VIP
12437,18,342,373,397.4283333,5628.758808,VIP
12439,1,43,361,76.52,378.9965001,Low Value
12440,1,255,353,290.69,537.1195868,Low Value
12441,0,0,2,0,1677.443138,High Value
12443,0,0,368,0,282.8909253,Low Value
12445,0,0,56,0,971.0963757,Medium Value
12449,1,28,74,90,1164.391096,High Value
12450,2,75,110,170.95,1401.251971,High Value
12451,1,66,165,1483.09,2405.887123,VIP
12454,3,26,57,2805.973333,21337.26884,VIP
12455,3,276,357,592.22,1649.211889,High Value
12457,0,0,71,0,869.4076233,Medium Value
12458,1,60,123,449.48,1402.294397,High Value
12459,0,0,241,0,397.5812696,Low Value
12460,0,0,92,0,758.2483501,Medium Value
12466,0,0,318,0,319.1353852,Low Value
12467,0,0,59,0,948.8990174,Medium Value
12468,2,156,318,1249.985,2321.66222,VIP
12469,1,14,172,1113.7,1890.1864,VIP
12470,0,0,325,0,313.511908,Low Value
12471,27,358,368,702.36,14534.51142,VIP
